Pioneer Challenge JULY 12 2020  ;Pioneer Preliminary JULY 11 2020  ;Pioneer League JULY 9 2020  ;Pioneer League JULY 6 2020  ;Pioneer League JULY 2 2020  ;Pioneer Preliminary JULY 2 2020  ;Pioneer League JUNE 29 2020  ;Pioneer Challenge JUNE 28 2020  ;Pioneer Preliminary JUNE 27 2020  ;Pioneer Preliminary JUNE 25 2020  ;Pioneer League JUNE 25 2020  ;Pioneer Challenge JUNE 22 2020  ;Pioneer League JUNE 22 2020  ;Pioneer Challenge JUNE 21 2020  ;Pioneer Preliminary JUNE 20 2020  ;Pioneer Preliminary JUNE 18 2020  ;Pioneer League JUNE 18 2020  ;Pioneer Preliminary JUNE 17 2020  ;Pioneer Challenge JUNE 15 2020  ;Pioneer League JUNE 15 2020  ;Pioneer Challenge JUNE 14 2020  ;Pioneer Preliminary JUNE 11 2020  ;Pioneer League JUNE 11 2020  ;Pioneer Preliminary JUNE 10 2020  ;Pioneer Showcase JUNE 8 2020  ;Pioneer League JUNE 8 2020  ;Pioneer Challenge JUNE 7 2020  ;Pioneer Preliminary JUNE 6 2020  
Mono Black Aggro;Lotus Breach;Esper Control;Mono Black Aggro;Other;Inverter;Mono Black Aggro;Mono Red Aggro;Lotus Breach;Heliod Ballista;Naya Winota;Other;UW Control;Inverter;Lotus Breach;GB Delirium;Other;Heliod Ballista;Inverter;UW Control;GB Delirium;Inverter;UW Control;Heliod Ballista;Bant Spirits;Niv-Mizzet Reborn / Esper Control / Bant Control;Inverter;Inverter
Heliod Ballista;UW Spirits;Heliod Ballista;Feather Heroic;Mono Red Aggro;Inverter;Esper Control;Inverter;Inverter;Mono Red Aggro;Other;Vampires;Other;GB Delirium;Inverter;Inverter;Other;Naya Winota;UR Ensoul;Naya Winota;Other;Heliod Ballista;Other;Inverter;Inverter;Mono Red Aggro;Mono Red Aggro;Other
Inverter;Mono Black Aggro;UR Ensoul;Orzhov Sram Auras;Niv-Mizzet Reborn;GB Delirium;UR Ensoul;Other;Inverter;Vampires;Inverter;Inverter;Vampires;Heliod Ballista;Lotus Breach;Heliod Ballista;Heliod Ballista;Esper Control;UW Control;Green Stompy;UR Ensoul;Mono Red Aggro;Other;Bant Spirits;Vampires;Other;Esper Control;Inverter
Mono Black Aggro;Lotus Breach;Temur Reclamation;Mono Red Aggro;Other;Other;Mono Red Aggro;Inverter;Other;Heliod Ballista;Mono Red Aggro;Heliod Ballista;Green Stompy;Mono Red Aggro;Lotus Breach;Rally the Ancestors;Inverter;Other;Mono Red Aggro;Mono Red Aggro;Other;Other;Other;Vampires;Naya Winota;Mono Red Aggro;Mono Black Aggro;Esper Control
Mono Red Aggro;Other;Other;Vampires;Vampires;Esper Control;Orzhov Sram Auras;Inverter;Lotus Breach;Vampires;Other;Lotus Breach;Other;Mono Red Aggro;Inverter;Heliod Ballista;Vampires;Inverter;Lotus Breach;Other;Heliod Ballista;Mono Red Aggro;Inverter;Bant Spirits;Inverter;Heliod Ballista;Inverter;Lotus Breach
Niv-Mizzet Reborn;Mono Black Aggro;Naya Winota;GB Delirium;Green Stompy;Other;Bant Control;Heliod Ballista;Other;Mono Red Aggro;Niv-Mizzet Reborn;Mono Red Aggro;Esper Control;Naya Winota;Inverter;Esper Control;Other;Green Stompy;Bant Spirits;Lotus Breach;Niv-Mizzet Reborn;Lotus Breach;Other;Bant Spirits;Lotus Breach;Inverter;Other;Heliod Ballista
Mono Red Aggro;Inverter;Bant Spirits;Naya Winota;Mono Red Aggro;Inverter;Niv-Mizzet Reborn;UW Spirits;Inverter;Other;Other;Other;Bant Control;Lotus Breach;UR Ensoul;Naya Winota;UW Control;Heliod Ballista;Vampires;Heliod Ballista;Esper Control;Vampires;Other;Esper Control;Other;Inverter;Inverter;Esper Control
Esper Control;Lotus Breach;Other;Other;Orzhov Sram Auras;Inverter;Mono Red Aggro;GB Delirium;Mono Red Aggro;Esper Control;Other;Mono Red Aggro;Inverter;Heliod Ballista;Inverter;Vampires;Mono Black Aggro;Lotus Breach;GB Delirium;Other;Mono Red Aggro;Inverter;Esper Control;Bant Spirits;Mono Red Aggro;Vampires;Other;Lotus Breach
Mono Red Aggro;Inverter;UW Spirits;Other;Other;Other;Other;Heliod Ballista;Other;GB Delirium;Vampires;Inverter;Orzhov Sram Auras;Inverter;Inverter;Inverter;Other;Inverter;Heliod Ballista;Other;Inverter;Lotus Breach;UR Ensoul;Naya Winota;Other;Other;Inverter;Lotus Breach
Naya Winota;Mono Red Aggro;Niv-Mizzet Reborn;Other;Inverter;GB Delirium;GB Delirium;Mono Red Aggro;Other;Heliod Ballista;;GB Delirium;Other;Mono Red Aggro;;;Other;;Niv-Mizzet Reborn / Bant Control;Other;Inverter;Lotus Breach;Heliod Ballista;Other;Inverter;Inverter;Esper Control;Inverter
