Modern Preliminary MAY 1 2020  ;Modern Preliminary APRIL 30 2020  ;Modern Preliminary APRIL 29 2020  ;Modern Challenge APRIL 27 2020  ;Modern Super APRIL 26 2020  ;Modern Challenge APRIL 26 2020  ;Modern Preliminary APRIL 25 2020  ;Modern Preliminary APRIL 23 2020  ;Modern Premier APRIL 22 2020  ;Modern Premier APRIL 22 2020  ;Modern Preliminary APRIL 22 2020  ;Modern Challenge APRIL 20 2020  ;Modern Super APRIL 19 2020  ;Modern Challenge APRIL 19 2020  ;Modern Preliminary APRIL 18 2020  
Lurrus of the Dream-Den;Lurrus of the Dream-Den;Other;Lurrus of the Dream-Den;Other;Yorion, Sky Nomad;Other;Other;Other;Other;Other;Lurrus of the Dream-Den;Jegantha, the Wellspring;Lurrus of the Dream-Den;Other
Other;Yorion, Sky Nomad;Other;Lurrus of the Dream-Den;Other;Yorion, Sky Nomad;Lurrus of the Dream-Den;Yorion, Sky Nomad;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Other;Other;Other
Yorion, Sky Nomad;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Jegantha, the Wellspring;Other;Other;Other;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Other;Other;Other
Lurrus of the Dream-Den;Lurrus of the Dream-Den;Obosh, the Preypiercer;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Jegantha, the Wellspring;Jegantha, the Wellspring;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Other;Yorion, Sky Nomad;Other
Yorion, Sky Nomad;Lurrus of the Dream-Den;Other;Jegantha, the Wellspring;Other;Other;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Other;Yorion, Sky Nomad;Lurrus of the Dream-Den;Other;Other
Other;Other;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Other;Other;Lurrus of the Dream-Den;Other;Other;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Other
Other;Other;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Other;Obosh, the Preypiercer;Lurrus of the Dream-Den;Other;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Other;Jegantha, the Wellspring
Other;Other;Zirda, the Dawnwaker;Other;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Other;Other;Other
Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Obosh, the Preypiercer;Lurrus of the Dream-Den;Yorion, Sky Nomad;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Jegantha, the Wellspring;Lurrus of the Dream-Den;Other;Lurrus of the Dream-Den;Other
Lurrus of the Dream-Den;Other;Lurrus of the Dream-Den;Other;Lurrus of the Dream-Den;Jegantha, the Wellspring;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Other;Other;Lurrus of the Dream-Den;Jegantha, the Wellspring;Lurrus of the Dream-Den;Other;Other
Yorion, Sky Nomad;Yorion, Sky Nomad;Other;Lurrus of the Dream-Den;Yorion, Sky Nomad;Other;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Umori, the Collector;Jegantha, the Wellspring;Lurrus of the Dream-Den;Other;Other
Other;Other;Lurrus of the Dream-Den;Yorion, Sky Nomad;Obosh, the Preypiercer;Lurrus of the Dream-Den;Other;Other;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Other;Lurrus of the Dream-Den;Other;Other
;Yorion, Sky Nomad;Lurrus of the Dream-Den;Other;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Other;Other;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Other;Other;Other;Other;Other
;Yorion, Sky Nomad;Other;Other;Other;Lurrus of the Dream-Den;Other;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Other;Lurrus of the Dream-Den;Other;Other;Other
