Pioneer League JULY 20 2020  ;Standard League JULY 20 2020  ;Vintage Challenge JULY 20 2020  ;Standard Challenge JULY 20 2020  ;Pauper Challenge JULY 20 2020  ;Modern Champ JULY 20 2020  
Other;Other;Other;Other;Other;Other
Other;Other;Other;Other;Other;Other
Other;Other;Other;Other;Other;Other
Other;Other;Other;Other;Other;Other
Other;Other;Other;Other;Other;Red Prowess
Other;Other;Other;Other;Other;Amulet Titan
Other;Other;Other;Other;Other;Other
Other;Other;Other;Other;Other;Other
Other;Other;Other;Other;Other;Other
Other;Other;Other;Other;Other;Other
Other;;Other;Other;Other;Other
Other;;Other;Other;Other;Other
Other;;Other;Other;Other;Other
Other;;Other;Other;Other;Other
Other;;Other;Other;Other;Other
Other;;Other;Other;Other;Other
Other;;Other;Other;Other;Other
Other;;Other;Other;Other;Other
Other;;Other;Other;Other;Other
Other;;Other;Other;Other;Other
Other;;Other;Other;Other;Other
;;Other;Other;Other;Red Prowess
;;Other;Other;Other;Other
;;Other;Other;Other;Other
;;Other;Other;Other;Other
;;Other;Other;Other;Other
;;Other;Other;Other;Red Prowess
;;Other;Other;Other;Other
;;Other;Other;Other;Other
;;Other;Other;Other;Other
;;Other;Other;Other;Amulet Titan
;;Other;Other;Other;Other
