Pioneer Preliminary JANUARY 10 2020  ;Pioneer Preliminary JANUARY 9 2020  ;Pioneer League JANUARY 9 2020  ;Pioneer Preliminary JANUARY 8 2020  ;Pioneer Preliminary JANUARY 7 2020  ;Pioneer Challenge JANUARY 6 2020  ;Pioneer League JANUARY 6 2020  
Other;Other;Other;UW Control;Mono Black Aggro;Chonky Red;Chonky Red
Green Stompy;Niv-Mizzet Reborn;Other;UR Ensoul;Chonky Red;Mono Black Aggro;Other
Chonky Red;UW Control;Other;Other;Green Stompy;UW Control;Other
Chonky Red;Vampires;Arclight Phoenix;Chonky Red;Other;Other;Other
UR Ensoul;Arclight Phoenix;Other;Other;Arclight Phoenix;Vampires;Other
UR Ensoul;Mono Black Aggro;GB Delirium;Other;Mono Black Aggro;Mono Black Aggro;Other
UR Ensoul;Other;Other;Other;UW Control;Green Stompy;Other
Green Stompy;Other;Niv-Mizzet Reborn;Mono Black Aggro;Chonky Red;Green Stompy;Other
Vampires;Chonky Red;Chonky Red;Vampires;Mono Green Ramp;UW Control;Bant Spirits
Chonky Red;Vampires;Green Stompy;Other;UR Ensoul;Green Stompy;Other
Mono Black Aggro;Vampires;Other;Other;Vampires;Other;UW Spirits
Other;UR Ensoul;Other;Mono Green Ramp;Mono Black Aggro;Mono Black Aggro;Other
UW Control;UW Control;Arclight Phoenix;Green Stompy;Other;Chonky Red;Other
Chonky Red;Other;Other;Other;Other;UW Control;Other
Other;Other;Other;Vampires;Mono Green Ramp;Mono Green Ramp;Other
UR Ensoul;Other;GB Delirium;Vampires;Green Stompy;GB Delirium;Other
Chonky Red;Other;Other;UW Control;Green Stompy;Green Stompy;UW Control
Boros Burn;Chonky Red;Other;Chonky Red;Other;UW Control;Other
UR Ensoul;Bant Spirits;UR Ensoul;UR Ensoul;Other;UW Control;Arclight Phoenix
Other;Chonky Red;Vampires;Other;Chonky Red;UR Ensoul;Other
Other;Other;Other;Chonky Red;Other;Other;GB Delirium
Other;Other;Other;Chonky Red;Mono Black Aggro;UW Control;Mono Black Aggro
Other;GB Delirium;Mono Green Ramp;Other;Mono Green Ramp;Vampires;Other
Chonky Red;UW Control;Other;Other;GB Delirium;UR Ensoul;Other
Other;Chonky Red;Other;Other;Other;Chonky Red;Vampires
Vampires;Mono Black Aggro;Other;Other;Mono Green Ramp;Mono Black Aggro;Other
Niv-Mizzet Reborn;Mono Green Ramp;Bant Spirits;Mono Black Aggro;Other;UW Control;Other
Other;Elves;Other;Arclight Phoenix;Arclight Phoenix;Green Stompy;Vampires
Other;Other;Mono Black Aggro;Other;Chonky Red;Other;Other
UR Ensoul;Chonky Red;Other;Chonky Red;Chonky Red;Other;GB Delirium
;Other;Other;Mono Green Ramp;Other;Other;Other
;Other;UW Spirits;Other;UW Spirits;GB Delirium;Boros Burn
;Other;Other;Chonky Red;Chonky Red;;Other
;UW Control;Other;UW Control;Mono Black Aggro;;Other
;Green Stompy;Other;;Other;;Other
;Chonky Red;Other;;;;Other
;Other;Chonky Red;;;;Other
;Green Stompy;Other;;;;GB Delirium
;Vampires;UW Control;;;;Other
;Other;Other;;;;Other
;Mono Green Ramp;Other;;;;Other
;UR Ensoul;Other;;;;Green Stompy
;;;;;;GB Delirium
;;;;;;Other
;;;;;;Other
;;;;;;Mono Green Ramp
;;;;;;Other
;;;;;;Other
;;;;;;Other
;;;;;;Other
;;;;;;Other
;;;;;;Other
;;;;;;Other
;;;;;;Other
;;;;;;Other
;;;;;;Other
;;;;;;Other
;;;;;;Other
;;;;;;Other
;;;;;;Arclight Phoenix
;;;;;;Chonky Red
;;;;;;GB Delirium
;;;;;;Other
;;;;;;Green Stompy
;;;;;;Green Stompy
;;;;;;UR Ensoul
