Pioneer Showcase JUNE 8 2020  ;Pioneer League JUNE 8 2020  
Bant Spirits;Niv-Mizzet Reborn / Esper Control / Bant Control
Inverter;Mono Red Aggro
Vampires;Other
Naya Winota;Mono Red Aggro
Inverter;Heliod Ballista
Lotus Breach;Inverter
Other;Inverter
Mono Red Aggro;Vampires
Other;Other
Inverter;Inverter
Inverter;Esper Control
Other;UR Ensoul
Lotus Breach;Naya Winota
Heliod Ballista;Other
Inverter;Other
Inverter;Heliod Ballista
Heliod Ballista;Other
UW Control;Green Stompy
Inverter;GB Delirium
Mono Black Aggro;Mono Black Aggro
Lotus Breach;Orzhov Sram Auras
Other;Rally the Ancestors
Inverter;Lotus Breach
Other;Bant Spirits
Mono Red Aggro;Other
Mono Black Aggro;Heliod Ballista
Inverter;
Other;
Lotus Breach;
Inverter;
Heliod Ballista;
Inverter;
