Pioneer Preliminary JULY 22 2020  ;Pioneer Preliminary JULY 21 2020  ;Pioneer League JULY 20 2020  ;Pioneer Challenge JULY 19 2020  ;Pioneer Preliminary JULY 18 2020  ;Pioneer Preliminary JULY 17 2020  ;Pioneer League JULY 16 2020  ;Pioneer Preliminary JULY 16 2020  ;Pioneer Preliminary JULY 14 2020  ;Pioneer League JULY 13 2020  ;Pioneer Showcase JULY 13 2020  ;Pioneer Challenge JULY 12 2020  ;Pioneer Preliminary JULY 11 2020  ;Pioneer League JULY 9 2020  ;Pioneer League JULY 6 2020  ;Pioneer League JULY 2 2020  ;Pioneer Preliminary JULY 2 2020  
Other;Mono Black Aggro;Other;Mono Black Aggro;Mono Black Aggro;Lotus Breach;Other;Mono Red Aggro;Other;Esper Control;Inverter;Mono Black Aggro;Lotus Breach;Esper Control;Mono Black Aggro;Other;Inverter
Heliod Ballista;Inverter;Other;Heliod Ballista;Mono Black Aggro;Inverter;Other;Lotus Breach;Green Stompy;Bant Spirits;Niv-Mizzet Reborn;Heliod Ballista;UW Spirits;Heliod Ballista;Feather Heroic;Mono Red Aggro;Inverter
Mono Black Aggro;Mono Black Aggro;Mono Black Aggro;Mono Black Aggro;Mono Black Aggro;Esper Control;Naya Winota;Mono Red Aggro;Heliod Ballista;UW Spirits;UW Spirits;Inverter;Mono Black Aggro;UR Ensoul;Orzhov Sram Auras;Niv-Mizzet Reborn;GB Delirium
Mono Black Aggro;Mono Black Aggro;Mono Red Aggro;UW Spirits;Inverter;Lotus Breach;Inverter;Inverter;Niv-Mizzet Reborn;Other;Naya Winota;Mono Black Aggro;Lotus Breach;Temur Reclamation;Mono Red Aggro;Other;Other
GB Delirium;UW Spirits;Mono Black Aggro;Mono Red Aggro;UW Spirits;Mono Black Aggro;UR Ensoul;Inverter;Mono Red Aggro;Vampires;Lotus Breach;Mono Red Aggro;Other;Other;Vampires;Vampires;Esper Control
Vampires;Mono Red Aggro;Other;Heliod Ballista;Inverter;Heliod Ballista;Heliod Ballista;Heliod Ballista;Mono Red Aggro;Heliod Ballista;Lotus Breach;Niv-Mizzet Reborn;Mono Black Aggro;Naya Winota;GB Delirium;Green Stompy;Other
Other;Mono Red Aggro;UR Ensoul;Inverter;Mono Red Aggro;Mono Red Aggro;Orzhov Sram Auras;Mono Black Aggro;Inverter;Other;Inverter;Mono Red Aggro;Inverter;Bant Spirits;Naya Winota;Mono Red Aggro;Inverter
Mono Black Aggro;;Other;Mono Black Aggro;Lotus Breach;Lotus Breach;Mono Black Aggro;Other;Inverter;Other;Lotus Breach;Esper Control;Lotus Breach;Other;Other;Orzhov Sram Auras;Inverter
Other;;Inverter;Other;;UW Spirits;Mono Red Aggro;Inverter;;Other;Mono Black Aggro;Mono Red Aggro;Inverter;UW Spirits;Other;Other;Other
Mono Black Aggro;;UW Spirits;Other;;Inverter;Other;Naya Winota;;Other;Vampires;Naya Winota;Mono Red Aggro;Niv-Mizzet Reborn;Other;Inverter;GB Delirium
Mono Black Aggro;;Esper Control;Mono Black Aggro;;;Niv-Mizzet Reborn;Heliod Ballista;;Lotus Breach;Mono Red Aggro;Inverter;;Lotus Breach;Inverter;Other;Inverter
Mono Black Aggro;;Bant Control;Mono Black Aggro;;;UW Spirits;;;Other;Mono Black Aggro;Mono Red Aggro;;Other;Heliod Ballista;Mono Black Aggro;
;;Niv-Mizzet Reborn / Bant Control;Mono Red Aggro;;;GB Delirium;;;Orzhov Sram Auras;Heliod Ballista;Niv-Mizzet Reborn;;Other;UR Ensoul;Naya Winota;
;;Mono Red Aggro;UW Spirits;;;Bant Control;;;Mono Black Aggro;Inverter;Heliod Ballista;;Bant Control;Other;Other;
;;Feather Heroic;Mono Red Aggro;;;Green Stompy;;;Mono Red Aggro;Inverter;Inverter;;Mono Black Aggro;Esper Control;Heliod Ballista;
;;Naya Winota;Inverter;;;;;;Niv-Mizzet Reborn;Niv-Mizzet Reborn;Esper Control;;Vampires;Other;GB Delirium;
;;Vampires;Heliod Ballista;;;;;;;Lotus Breach;Inverter;;Inverter;UW Spirits;Esper Control;
;;Heliod Ballista;Lotus Breach;;;;;;;Other;Mono Red Aggro;;Mono Red Aggro;Other;Lotus Breach;
;;Other;Heliod Ballista;;;;;;;Inverter;Heliod Ballista;;Orzhov Sram Auras;Lotus Breach;;
;;Other;Inverter;;;;;;;Mono Black Aggro;Mono Red Aggro;;;;;
;;Lotus Breach;Inverter;;;;;;;Mono Black Aggro;Bant Spirits;;;;;
;;;Vampires;;;;;;;Inverter;Other;;;;;
;;;Lotus Breach;;;;;;;Inverter;Lotus Breach;;;;;
;;;Other;;;;;;;Inverter;Vampires;;;;;
;;;Other;;;;;;;Inverter;Niv-Mizzet Reborn;;;;;
;;;Mono Black Aggro;;;;;;;Mono Black Aggro;Inverter;;;;;
;;;Heliod Ballista;;;;;;;Vampires;GB Delirium;;;;;
;;;Lotus Breach;;;;;;;Other;Inverter;;;;;
;;;Other;;;;;;;Inverter;Inverter;;;;;
;;;Niv-Mizzet Reborn;;;;;;;Mono Black Aggro;UW Spirits;;;;;
;;;Mono Red Aggro;;;;;;;Esper Control;Heliod Ballista;;;;;
;;;Mono Black Aggro;;;;;;;Lotus Breach;Other;;;;;
