Pioneer Challenge JULY 12 2020  ;Pioneer Preliminary JULY 11 2020  ;Pioneer League JULY 9 2020  ;Pioneer League JULY 6 2020  
Mono Black Aggro;Lotus Breach;Esper Control;Mono Black Aggro
Heliod Ballista;UW Spirits;Heliod Ballista;Feather Heroic
Inverter;Mono Black Aggro;UR Ensoul;Orzhov Sram Auras
Mono Black Aggro;Lotus Breach;Temur Reclamation;Mono Red Aggro
Mono Red Aggro;Other;Other;Vampires
Niv-Mizzet Reborn;Mono Black Aggro;Naya Winota;GB Delirium
Mono Red Aggro;Inverter;Bant Spirits;Naya Winota
Esper Control;Lotus Breach;Other;Other
Mono Red Aggro;Inverter;UW Spirits;Other
Naya Winota;Mono Red Aggro;Niv-Mizzet Reborn;Other
Inverter;;Lotus Breach;Inverter
Mono Red Aggro;;Other;Heliod Ballista
Niv-Mizzet Reborn;;Other;UR Ensoul
Heliod Ballista;;Bant Control;Other
Inverter;;Mono Black Aggro;Esper Control
Esper Control;;Vampires;Other
Inverter;;Inverter;UW Spirits
Mono Red Aggro;;Mono Red Aggro;Other
Heliod Ballista;;Orzhov Sram Auras;Lotus Breach
Mono Red Aggro;;;
Bant Spirits;;;
Other;;;
Lotus Breach;;;
Vampires;;;
Niv-Mizzet Reborn;;;
Inverter;;;
GB Delirium;;;
Inverter;;;
Inverter;;;
UW Spirits;;;
Heliod Ballista;;;
Other;;;
