Vintage Preliminary APRIL 29 2020  ;Vintage Challenge APRIL 27 2020  ;Vintage Preliminary APRIL 27 2020  ;Vintage Challenge APRIL 26 2020  ;Vintage Preliminary APRIL 25 2020  ;Vintage Preliminary APRIL 23 2020  ;Vintage Challenge APRIL 20 2020  ;Vintage Preliminary APRIL 20 2020  ;Vintage Challenge APRIL 19 2020  ;Vintage Preliminary APRIL 18 2020  
Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Other;Other
Other;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lutri, the Spellchaser;Other
Lurrus of the Dream-Den;Lurrus of the Dream-Den;Other;Other;Other;Other;Other;Other;Lurrus of the Dream-Den;Other
Lutri, the Spellchaser;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lutri, the Spellchaser;Lurrus of the Dream-Den;Other;Lutri, the Spellchaser;Lurrus of the Dream-Den;Other
Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Other;Lutri, the Spellchaser;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Other
Lutri, the Spellchaser;Lutri, the Spellchaser;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lutri, the Spellchaser;Lurrus of the Dream-Den;Other;Lurrus of the Dream-Den;Other
Lurrus of the Dream-Den;Other;Jegantha, the Wellspring;Other;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Other;Other;Other;Other
;Lurrus of the Dream-Den;Other;Other;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Other;Lurrus of the Dream-Den;Other
;Other;Lutri, the Spellchaser;Lurrus of the Dream-Den;Other;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Umori, the Collector;Other;Other
;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lutri, the Spellchaser;Lurrus of the Dream-Den;;Other;Other;Other;Other
;Lurrus of the Dream-Den;;Lurrus of the Dream-Den;;;Other;;Other;Other
;Lurrus of the Dream-Den;;Lurrus of the Dream-Den;;;Other;;Other;Other
;Lurrus of the Dream-Den;;Lurrus of the Dream-Den;;;Lutri, the Spellchaser;;Other;Other
;Other;;Lurrus of the Dream-Den;;;Other;;Lurrus of the Dream-Den;
;Other;;Lurrus of the Dream-Den;;;Other;;Other;
;Lurrus of the Dream-Den;;Lutri, the Spellchaser;;;Lurrus of the Dream-Den;;Other;
;Other;;Lurrus of the Dream-Den;;;Lutri, the Spellchaser;;Lurrus of the Dream-Den;
;Lurrus of the Dream-Den;;Other;;;Other;;Zirda, the Dawnwaker;
;Lurrus of the Dream-Den;;Lurrus of the Dream-Den;;;Other;;Other;
;Lurrus of the Dream-Den;;Lurrus of the Dream-Den;;;Lurrus of the Dream-Den;;Lurrus of the Dream-Den;
;Lurrus of the Dream-Den;;Lurrus of the Dream-Den;;;Other;;Other;
;Other;;Lurrus of the Dream-Den;;;Lurrus of the Dream-Den;;Other;
;Lurrus of the Dream-Den;;Lurrus of the Dream-Den;;;Other;;Lurrus of the Dream-Den;
;Lurrus of the Dream-Den;;Other;;;Lurrus of the Dream-Den;;Other;
;Other;;Lurrus of the Dream-Den;;;Lurrus of the Dream-Den;;Other;
;Lurrus of the Dream-Den;;Lurrus of the Dream-Den;;;Lurrus of the Dream-Den;;Other;
;Lurrus of the Dream-Den;;Lutri, the Spellchaser;;;Other;;Other;
;Other;;Lurrus of the Dream-Den;;;Lurrus of the Dream-Den;;Other;
;Other;;Other;;;Lurrus of the Dream-Den;;Lurrus of the Dream-Den;
;Other;;Lurrus of the Dream-Den;;;Lutri, the Spellchaser;;Lurrus of the Dream-Den;
;Lurrus of the Dream-Den;;Lurrus of the Dream-Den;;;Other;;Other;
;Other;;Other;;;Lurrus of the Dream-Den;;Other;
