;Gyruda, Doom of Depths;Jegantha, the Wellspring;Kaheera, the Orphanguard;Keruga, the Macrosage;Lurrus of the Dream-Den;Lutri, the Spellchaser;Obosh, the Preypiercer;Umori, the Collector;Yorion, Sky Nomad;Zirda, the Dawnwaker;Links
Modern Preliminary APRIL 18 2020  ;0;1;0;0;0;0;0;0;0;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2020-04-18
"
Modern Challenge APRIL 19 2020  ;0;1;0;0;8;0;0;0;1;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-19
"
Modern Super APRIL 19 2020  ;0;1;0;0;9;0;0;0;0;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2020-04-19
"
Modern Challenge APRIL 20 2020  ;0;2;0;0;16;0;0;0;2;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-20
"
Modern Preliminary APRIL 22 2020  ;0;1;0;0;14;0;0;1;0;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2020-04-22
"
Modern Premier APRIL 22 2020  .1;0;2;0;0;10;0;0;0;0;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-premier-2020-04-22
"
Modern Premier APRIL 22 2020  ;0;2;0;0;10;0;0;0;0;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-premier-2020-04-22-0
"
Modern Preliminary APRIL 23 2020  ;0;0;0;0;18;0;0;0;1;1;"https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2020-04-23
"
Modern Preliminary APRIL 25 2020  ;0;2;0;0;11;0;0;0;0;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2020-04-25
"
Modern Challenge APRIL 26 2020  ;1;1;0;0;15;0;1;0;4;1;"https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-26
"
Modern Super APRIL 26 2020  ;0;0;0;0;16;0;1;0;2;1;"https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2020-04-26
"
Modern Challenge APRIL 27 2020  ;1;1;0;0;14;0;2;0;1;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-27
"
Modern Preliminary APRIL 29 2020  ;0;0;0;0;13;0;2;0;1;2;"https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2020-04-29
"
Modern Preliminary APRIL 30 2020  ;0;0;0;0;6;0;2;0;5;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2020-04-30
"
Modern Preliminary MAY 1 2020  ;0;0;0;0;4;0;0;0;3;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2020-05-01
"
