;Gyruda, Doom of Depths;Jegantha, the Wellspring;Kaheera, the Orphanguard;Keruga, the Macrosage;Lurrus of the Dream-Den;Lutri, the Spellchaser;Obosh, the Preypiercer;Umori, the Collector;Yorion, Sky Nomad;Zirda, the Dawnwaker;Links
Pioneer Preliminary APRIL 18 2020  ;0;1;0;0;0;0;0;0;1;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/pioneer-preliminary-2020-04-18
"
Pioneer Super APRIL 18 2020  ;2;0;0;0;5;0;3;0;0;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/pioneer-super-qualifier-2020-04-18
"
Pioneer Challenge APRIL 20 2020  ;0;3;0;0;11;0;6;0;1;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/pioneer-challenge-2020-04-20
"
Pioneer Preliminary APRIL 22 2020  ;0;0;0;0;15;0;1;0;3;1;"https://magic.wizards.com/en/articles/archive/mtgo-standings/pioneer-preliminary-2020-04-22
"
Pioneer Super APRIL 23 2020  ;0;1;1;0;13;0;3;0;8;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/pioneer-super-qualifier-2020-04-23
"
Pioneer Preliminary APRIL 23 2020  ;0;1;0;0;7;0;0;0;2;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/pioneer-preliminary-2020-04-23
"
Pioneer Preliminary APRIL 25 2020  ;0;1;0;0;2;0;1;0;3;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/pioneer-preliminary-2020-04-25
"
Pioneer Super APRIL 25 2020  ;2;0;1;0;13;0;1;0;9;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/pioneer-super-qualifier-2020-04-25
"
Pioneer Challenge APRIL 26 2020  ;1;2;1;0;10;0;0;0;9;1;"https://magic.wizards.com/en/articles/archive/mtgo-standings/pioneer-challenge-2020-04-26
"
Pioneer Challenge APRIL 27 2020  ;1;2;0;0;9;0;1;0;7;1;"https://magic.wizards.com/en/articles/archive/mtgo-standings/pioneer-challenge-2020-04-27
"
Pioneer Preliminary APRIL 29 2020  ;2;1;0;0;2;0;1;0;6;1;"https://magic.wizards.com/en/articles/archive/mtgo-standings/pioneer-preliminary-2020-04-29
"
Pioneer Preliminary APRIL 30 2020  ;1;0;0;0;7;0;0;0;4;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/pioneer-preliminary-2020-04-30
"
Pioneer Super APRIL 30 2020  ;0;1;0;0;14;0;1;0;5;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/pioneer-super-qualifier-2020-04-30
"
Pioneer Preliminary MAY 1 2020  ;0;0;0;0;2;0;0;0;2;2;"https://magic.wizards.com/en/articles/archive/mtgo-standings/pioneer-preliminary-2020-05-01
"
