;Gyruda, Doom of Depths;Jegantha, the Wellspring;Kaheera, the Orphanguard;Keruga, the Macrosage;Lurrus of the Dream-Den;Lutri, the Spellchaser;Obosh, the Preypiercer;Umori, the Collector;Yorion, Sky Nomad;Zirda, the Dawnwaker;Links
Vintage Preliminary APRIL 18 2020  ;0;0;0;0;0;0;0;0;0;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-preliminary-2020-04-18
"
Vintage Challenge APRIL 19 2020  ;0;0;0;0;11;1;0;0;0;1;"https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2020-04-19
"
Vintage Preliminary APRIL 20 2020  ;0;0;0;0;3;1;0;1;0;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-preliminary-2020-04-20
"
Vintage Challenge APRIL 20 2020  ;0;0;0;0;14;4;0;0;0;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2020-04-20
"
Vintage Preliminary APRIL 23 2020  ;0;0;0;0;6;1;0;0;0;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-preliminary-2020-04-23
"
Vintage Preliminary APRIL 25 2020  ;0;0;0;0;7;1;0;0;0;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-preliminary-2020-04-25
"
Vintage Challenge APRIL 26 2020  ;0;0;0;0;22;3;0;0;0;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2020-04-26
"
Vintage Preliminary APRIL 27 2020  ;0;1;0;0;6;1;0;0;0;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-preliminary-2020-04-27
"
Vintage Challenge APRIL 27 2020  ;0;0;0;0;20;1;0;0;0;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2020-04-27
"
Vintage Preliminary APRIL 29 2020  ;0;0;0;0;4;2;0;0;0;0;"https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-preliminary-2020-04-29
"
